product_id,product_name,category,price,rating,num_reviews,description
PROD_00001,Dummy Product 1,Toys,,4.0,4073,This is a dummy description.
PROD_00002,Dummy Product 2,Home & Garden,,2.1,571,This is a dummy description.
PROD_00003,Dummy Product 3,Fashion,,4.2,3252,This is a dummy description.
PROD_00004,Dummy Product 4,Toys,,3.7,1907,This is a dummy description.
PROD_00005,Dummy Product 5,Fashion,,2.1,3514,This is a dummy description.
PROD_00006,Dummy Product 6,Electronics,,4.0,1723,This is a dummy description.
PROD_00007,Dummy Product 7,Fashion,,4.5,3697,This is a dummy description.
PROD_00008,Dummy Product 8,Toys,,1.3,3709,This is a dummy description.
PROD_00009,Dummy Product 9,Toys,,2.9,17,This is a dummy description.
PROD_00010,Dummy Product 10,Sports,,1.1,1677,This is a dummy description.
PROD_00011,Dummy Product 11,Electronics,,2.0,41,This is a dummy description.
PROD_00012,Dummy Product 12,Sports,,5.0,4761,This is a dummy description.
PROD_00013,Dummy Product 13,Sports,,3.2,1940,This is a dummy description.
PROD_00014,Dummy Product 14,Fashion,,1.5,571,This is a dummy description.
PROD_00015,Dummy Product 15,Electronics,,4.7,804,This is a dummy description.
PROD_00016,Dummy Product 16,Sports,,1.8,4266,This is a dummy description.
PROD_00017,Dummy Product 17,Toys,,2.6,4665,This is a dummy description.
PROD_00018,Dummy Product 18,Electronics,,4.6,1025,This is a dummy description.
PROD_00019,Dummy Product 19,Toys,,3.1,3547,This is a dummy description.
PROD_00020,Dummy Product 20,Sports,,4.5,3326,This is a dummy description.
PROD_00021,Dummy Product 21,Sports,,2.5,4461,This is a dummy description.
PROD_00022,Dummy Product 22,Toys,,3.8,2477,This is a dummy description.
PROD_00023,Dummy Product 23,Electronics,,2.2,1318,This is a dummy description.
PROD_00024,Dummy Product 24,Fashion,,3.7,2231,This is a dummy description.
PROD_00025,Dummy Product 25,Home & Garden,,4.7,3565,This is a dummy description.
PROD_00026,Dummy Product 26,Electronics,,1.5,1342,This is a dummy description.
PROD_00027,Dummy Product 27,Sports,,4.3,3533,This is a dummy description.
PROD_00028,Dummy Product 28,Sports,,2.9,433,This is a dummy description.
PROD_00029,Dummy Product 29,Fashion,,4.5,2351,This is a dummy description.
PROD_00030,Dummy Product 30,Home & Garden,,4.7,1064,This is a dummy description.
PROD_00031,Dummy Product 31,Toys,,1.0,4158,This is a dummy description.
PROD_00032,Dummy Product 32,Fashion,,3.1,868,This is a dummy description.
PROD_00033,Dummy Product 33,Home & Garden,,2.4,2625,This is a dummy description.
PROD_00034,Dummy Product 34,Toys,,2.0,2761,This is a dummy description.
PROD_00035,Dummy Product 35,Home & Garden,,2.4,3282,This is a dummy description.
PROD_00036,Dummy Product 36,Toys,,1.8,321,This is a dummy description.
PROD_00037,Dummy Product 37,Sports,,1.5,2711,This is a dummy description.
PROD_00038,Dummy Product 38,Fashion,,2.9,3877,This is a dummy description.
PROD_00039,Dummy Product 39,Fashion,,2.0,1027,This is a dummy description.
PROD_00040,Dummy Product 40,Toys,,3.7,2177,This is a dummy description.
PROD_00041,Dummy Product 41,Toys,,2.3,2149,This is a dummy description.
PROD_00042,Dummy Product 42,Toys,,3.0,3224,This is a dummy description.
