user_id,product_id,action,rating,timestamp
913,B09SJ1FTYV,view,,2024-02-27
1144,B09W9V2PXG,click,,2024-05-19
713,B008QTK47Q,view,,2024-01-24
1792,B09NC2TY11,click,,2024-05-23
1629,B08DCVRW98,click,,2024-04-17
1806,B08DCVRW98,view,,2024-01-02
1308,B09NKZXMWJ,view,,2024-02-09
1764,B085DTN6R2,view,,2024-04-07
793,B0836JGZ74,view,,2024-03-08
356,B09YV575RK,click,,2024-04-06
646,B07W7Z6DVL,add_to_cart,,2024-06-07
2963,B09W5XR9RT,click,,2024-01-12
1867,B018SJJ0GE,purchase,4.2,2024-02-29
828,B09LQQYNZQ,view,,2024-04-03
1333,B0B61HYR92,view,,2024-03-09
585,B08HVJCW95,view,,2024-03-03
1339,B07YL54NVJ,view,,2024-06-12
4563,B096MSW6CT,view,,2024-01-15
1877,B07JJFSG2B,view,,2024-01-17
1729,B00YQLG7GK,add_to_cart,,2024-03-21
1742,B0B5D39BCD,view,,2024-06-13
3759,B002PD61Y4,view,,2024-05-23
4416,B00GGGOYEK,click,,2024-05-29
3272,B082LZGK39,purchase,4.2,2024-02-05
4175,B09MKP344P,add_to_cart,,2024-01-29
1253,B07RD611Z8,add_to_cart,,2024-04-18
4886,B008YW3CYM,view,,2024-04-29
4335,B0B2C5MJN6,click,,2024-01-03
939,B0752LL57V,click,,2024-03-09
2787,B00NH11KIK,view,,2024-04-26
27,B08BQ947H3,purchase,4.3,2024-02-15
4159,B07GWTWFS2,view,,2024-06-12
4159,B01GGKZ4NU,view,,2024-02-11
4419,B082KVTRW8,purchase,3.8,2024-06-02
2656,B09Q5P2MT3,view,,2024-04-02
2520,B07P1BR7L8,view,,2024-05-25
646,B07FJNNZCJ,view,,2024-01-18
4364,B094G9L9LT,view,,2024-05-01
4504,B08HVJCW95,click,,2024-06-04
3467,B09VKWGZD7,add_to_cart,,2024-06-25
1648,B071SDRGWL,view,,2024-06-20
3060,B08497Z1MQ,click,,2024-01-31
2031,B094YFFSMY,view,,2024-05-30
4538,B09LHXNZLR,view,,2024-01-19
483,B09KGV7WSV,purchase,4.6,2024-03-25
581,B07WDK3ZS2,view,,2024-05-04
1756,B08SCCG9D4,click,,2024-05-26
4721,B0B2PQL5N3,add_to_cart,,2024-04-14
1560,B09LRZYBH1,click,,2024-03-31
3470,B09HS1NDRQ,add_to_cart,,2024-01-14
807,B0BN2576GQ,click,,2024-01-28
2037,B07F1T31ZZ,click,,2024-02-05
3457,B009UORDX4,view,,2024-01-20
3631,B00SH18114,view,,2024-06-15
4429,B07DC4RZPY,purchase,3.6,2024-03-01
1363,B091JF2TFD,view,,2024-04-12
481,B0BNLFQDG2,view,,2024-04-09
2173,B09939XJX8,view,,2024-06-27
4553,B01D5H8ZI8,view,,2024-02-18
2431,B0B7B9V9QP,view,,2024-05-18
500,B01GGKZ0V6,view,,2024-05-29
3906,B082LSVT4B,add_to_cart,,2024-02-10
466,B084N18QZY,add_to_cart,,2024-01-18
